ipg	ipg_accession	ipg_name	protein
646306042	NA	NA	HDQ8328816.1
560161973	HCF0857577.1	PDC family class C beta-lactamase	HCF0857577.1
560161973	HCF0857577.1	PDC family class C beta-lactamase	HCF1045657.1
560161973	HCF0857577.1	PDC family class C beta-lactamase	HCF3381374.1
560161973	HCF0857577.1	PDC family class C beta-lactamase	HCF3515165.1
560161973	HCF0857577.1	PDC family class C beta-lactamase	HCF5345714.1
560161973	HCF0857577.1	PDC family class C beta-lactamase	HCF7049059.1
560161973	HCF0857577.1	PDC family class C beta-lactamase	HCF7701528.1
646306042	NA	NA	HDQ7259788.1
646306042	NA	NA	HDQ8160051.1
519631698	HBO9065400.1	PDC family class C beta-lactamase	HBO9065400.1
589933899	NA	NA	HCR1765208.1
241910006	WP_134601258.1	class C beta-lactamase	WP_134601258.1
518957337	HBO2909493.1	PDC family class C beta-lactamase	HBO2909493.1
378285819	HCF3603959.1	PDC family class C beta-lactamase	HCT3661699.1
378285819	HCF3603959.1	PDC family class C beta-lactamase	HCF3603959.1
378285819	HCF3603959.1	PDC family class C beta-lactamase	HCF3606062.1
636901708	NA	NA	EKP3780364.1
560045281	HCE7028855.1	PDC family class C beta-lactamase	HCE7028855.1
560045281	HCE7028855.1	PDC family class C beta-lactamase	HCE7030635.1
646306042	NA	NA	HDQ7115164.1
601050383	NA	NA	HCW0872151.1
519649117	HBO9836860.1	PDC family class C beta-lactamase	HBO9836860.1
646306042	NA	NA	HDQ7077830.1
519568537	HBO5084973.1	PDC family class C beta-lactamase	HBO5084973.1
560155530	HCF0262509.1	PDC family class C beta-lactamase	HCF0262509.1
560155530	HCF0262509.1	PDC family class C beta-lactamase	HCF0260622.1
646306042	NA	NA	HDQ7506054.1
646306042	NA	NA	HDQ8505393.1
519516603	EIU4387080.1	PDC family class C beta-lactamase	EIU4387080.1
518535908	HBO0560954.1	PDC family class C beta-lactamase	HBO0560954.1
518519284	HBN9332204.1	PDC family class C beta-lactamase	HBN9332204.1
519568856	HBO5073207.1	PDC family class C beta-lactamase	HBO5073207.1
519568856	HBO5073207.1	PDC family class C beta-lactamase	HBO5071098.1
646306042	NA	NA	HDQ7997092.1
646306042	NA	NA	HDQ7114432.1
587358464	NA	NA	HCP6277063.1
241948993	WP_134637912.1	serine hydrolase	WP_134637912.1
518955601	EIU3428367.1	PDC family class C beta-lactamase	EIU3428367.1
518955601	EIU3428367.1	PDC family class C beta-lactamase	EJG9660267.1
580419615	EJU9618520.1	PDC family class C beta-lactamase	EJU9618520.1
580419647	EJU9618522.1	beta-lactamase	EJU9618522.1
580419647	EJU9618522.1	beta-lactamase	EJU9618521.1
646306042	NA	NA	HDQ8657051.1
646306042	NA	NA	HDQ8693079.1
646306042	NA	NA	HDQ7302520.1
560578107	HCF7739420.1	PDC family class C beta-lactamase	HCF7739420.1
560578107	HCF7739420.1	PDC family class C beta-lactamase	HCF7738716.1
646306042	NA	NA	HDQ8236986.1
646306042	NA	NA	HDQ7109302.1
646306042	NA	NA	HDQ7555421.1
519601259	HBO6816932.1	beta-lactamase	HBO6816932.1
587042246	WP_263472941.1	PDC family class C beta-lactamase	WP_263472941.1
589927174	NA	NA	HCR1678402.1
326519062	WP_171897538.1	PDC family class C beta-lactamase	HCU2015106.1
326519062	WP_171897538.1	PDC family class C beta-lactamase	WP_171897538.1
560552001	HCF6119548.1	PDC family class C beta-lactamase	HCF6119548.1
646306042	NA	NA	HDQ7876588.1
589922596	NA	NA	HCR1214385.1
576554915	HCK4984033.1	PDC family class C beta-lactamase	HCK4984033.1
560820652	HCG0403183.1	PDC family class C beta-lactamase	HCG0403183.1
519649691	HBO9866212.1	PDC family class C beta-lactamase	HBO9866212.1
519649691	HBO9866212.1	PDC family class C beta-lactamase	HBO9865086.1
646306042	NA	NA	HDQ8075779.1
646306042	NA	NA	HDQ7919498.1
646306042	NA	NA	HDQ7937366.1
646306042	NA	NA	HDQ8716094.1
560576052	HCF7597028.1	PDC family class C beta-lactamase	HCF7597028.1
560576052	HCF7597028.1	PDC family class C beta-lactamase	HCF7597994.1
519589957	HBO6020455.1	PDC family class C beta-lactamase	HDP4811360.1
519589957	HBO6020455.1	PDC family class C beta-lactamase	HBO6020455.1
101445437	WP_059298584.1	PDC family class C beta-lactamase	WP_059298584.1
101445437	WP_059298584.1	PDC family class C beta-lactamase	HCF7326297.1
101445437	WP_059298584.1	PDC family class C beta-lactamase	HCF7327334.1
646306042	NA	NA	HDQ8232322.1
576538402	HCK4366933.1	PDC family class C beta-lactamase	HCK4366933.1
576538402	HCK4366933.1	PDC family class C beta-lactamase	HCK4367791.1
576553769	HCK4920109.1	PDC family class C beta-lactamase	HCK4920109.1
593670399	NA	NA	EKC1515231.1
566910088	HCI3551296.1	PDC family class C beta-lactamase	HCI3551296.1
519614718	HBO6948550.1	PDC family class C beta-lactamase	HBO6948550.1
519614753	HBO6948547.1	PDC family class C beta-lactamase	HBO6948547.1
646306042	NA	NA	HDQ8200611.1
560197609	HCF3814904.1	PDC family class C beta-lactamase	HCF3814904.1
560197609	HCF3814904.1	PDC family class C beta-lactamase	HCF3812431.1
139527007	WP_139372749.1	PDC family class C beta-lactamase	WP_139372749.1
646306042	NA	NA	HDQ8309449.1
646306042	NA	NA	HDQ8437521.1
646306042	NA	NA	HDQ8165932.1
600872798	NA	NA	HCW0239229.1
519531726	EIU5636962.1	beta-lactamase	EIU5636962.1
238981498	WP_132555328.1	PDC family class C beta-lactamase	WP_132555328.1
577506966	HCL4215999.1	PDC family class C beta-lactamase	HCL4215999.1
646306042	NA	NA	HDQ7858516.1
519516427	EIU4386224.1	serine hydrolase	EIU4386224.1
387170989	MBI7438826.1	PDC family class C beta-lactamase	HCP6196374.1
589923947	NA	NA	HCR1191071.1
238950671	WP_132445398.1	PDC family class C beta-lactamase	WP_132445398.1
519571563	HBO5414921.1	PDC family class C beta-lactamase	HBO5414921.1
646306042	NA	NA	HDQ7126730.1
519637356	HBO8996602.1	PDC family class C beta-lactamase	HBO8996602.1
519637356	HBO8996602.1	PDC family class C beta-lactamase	HBO8996600.1
646306042	NA	NA	HDQ7204826.1
646306042	NA	NA	HDQ7253427.1
221018083	WP_124987747.1	PDC family class C beta-lactamase	WP_124987747.1
459261477	WP_215445413.1	PDC family class C beta-lactamase	WP_215445413.1
516915265	WP_235175890.1	PDC family class C beta-lactamase	WP_235175890.1
638973132	NA	NA	EKQ1149199.1
559784394	HCE5731910.1	PDC family class C beta-lactamase	HCE5731910.1
559784394	HCE5731910.1	PDC family class C beta-lactamase	HCE5734438.1
646306042	NA	NA	HDQ7350674.1
646306042	NA	NA	HDQ8165171.1
325036871	WP_171411895.1	PDC family class C beta-lactamase	WP_171411895.1
559121049	HCE3793620.1	beta-lactamase	HCE3793620.1
330577579	WP_174818014.1	PDC family class C beta-lactamase	WP_174818014.1
103297264	WP_061188425.1	PDC family class C beta-lactamase	WP_061188425.1
518954473	EIU3922738.1	beta-lactamase	EIU3922738.1
646306042	NA	NA	HDQ7174527.1
646306042	NA	NA	HDQ7707541.1
519636754	HBO8946092.1	PDC family class C beta-lactamase	HBO8946092.1
589924160	NA	NA	HCR1284895.1
519515202	EIU4330002.1	PDC family class C beta-lactamase	EIU4330002.1
519515202	EIU4330002.1	PDC family class C beta-lactamase	EIU4331450.1
646306042	NA	NA	HDQ7403438.1
240843453	WP_134284609.1	PDC family class C beta-lactamase	WP_134284609.1
510071010	WP_234575440.1	PDC family class C beta-lactamase	WP_234575440.1
646306042	NA	NA	HDQ8679508.1
646306042	NA	NA	HDQ7132716.1
646306042	NA	NA	HDQ7743366.1
219855449	WP_124199117.1	PDC family class C beta-lactamase	WP_124199117.1
519568691	HBO5328099.1	PDC family class C beta-lactamase	HBO5328099.1
519568691	HBO5328099.1	PDC family class C beta-lactamase	HBO5327184.1
558724708	HCD9752587.1	beta-lactamase	HCD9752587.1
194966457	WP_112292543.1	PDC family class C beta-lactamase	WP_112292543.1
646306042	NA	NA	HDQ8498703.1
646306042	NA	NA	HDQ8487042.1
646306042	NA	NA	HDQ7248381.1
646306042	NA	NA	HDQ7768573.1
589923118	NA	NA	HCR1226020.1
601050158	NA	NA	HCW0803017.1
566378446	HCH9921608.1	PDC family class C beta-lactamase	HCH9921608.1
566378446	HCH9921608.1	PDC family class C beta-lactamase	HCH9923259.1
566378446	HCH9921608.1	PDC family class C beta-lactamase	HCJ0558779.1
566378446	HCH9921608.1	PDC family class C beta-lactamase	HCJ0561161.1
646306042	NA	NA	HDQ7889126.1
646306042	NA	NA	HDQ7749801.1
646306042	NA	NA	HDQ7507606.1
646306042	NA	NA	HDQ8644157.1
646306042	NA	NA	HDQ8365314.1
519603036	HBO7395122.1	PDC family class C beta-lactamase	HBO7395122.1
566925711	HCI3927473.1	PDC family class C beta-lactamase	HCI3927473.1
646306042	NA	NA	HDQ7591402.1
646306042	NA	NA	HDQ8141639.1
646306042	NA	NA	HDQ7935943.1
560050195	HCE6882201.1	PDC family class C beta-lactamase	HCE6882201.1
431608825	WP_210983323.1	PDC family class C beta-lactamase	WP_210983323.1
646306042	NA	NA	HDQ8638764.1
646306042	NA	NA	HDQ8177215.1
646306042	NA	NA	HDQ7139645.1
601049700	NA	NA	HCW0900339.1
519635811	HBO8857829.1	beta-lactamase	HBO8857829.1
646306042	NA	NA	HDQ7567319.1
519583236	HBO5743261.1	PDC family class C beta-lactamase	HBO5743261.1
519583236	HBO5743261.1	PDC family class C beta-lactamase	HBO5741170.1
560811296	HCF9371628.1	PDC family class C beta-lactamase	HCF9371628.1
560811296	HCF9371628.1	PDC family class C beta-lactamase	HCF9373773.1
589922568	NA	NA	HCR1214376.1
519690289	HBP3040450.1	PDC family class C beta-lactamase	HBP3040450.1
558791406	HCE0687779.1	PDC family class C beta-lactamase	HCE0687779.1
589926249	NA	NA	HCR1373804.1
646306042	NA	NA	HDQ7646127.1
646306042	NA	NA	HDQ8057793.1
635584134	WP_275342379.1	PDC family class C beta-lactamase	WP_275342379.1
257289832	WP_140419730.1	PDC family class C beta-lactamase	WP_140419730.1
560216494	HCF5079020.1	PDC family class C beta-lactamase	HCF5079020.1
560216494	HCF5079020.1	PDC family class C beta-lactamase	HCF5079691.1
646306042	NA	NA	HDQ8705188.1
646306042	NA	NA	HDQ7756486.1
580414434	EJU9309418.1	beta-lactamase	EJU9309418.1
560828384	HCG1593595.1	PDC family class C beta-lactamase	HCG1593595.1
560828384	HCG1593595.1	PDC family class C beta-lactamase	HCG0547647.1
646306042	NA	NA	HDQ8461788.1
646306042	NA	NA	HDQ7681866.1
646306042	NA	NA	HDQ7107524.1
519801564	HBP5744102.1	PDC family class C beta-lactamase	HBP5744102.1
519801564	HBP5744102.1	PDC family class C beta-lactamase	HBP5741145.1
519532327	EIU5628441.1	PDC family class C beta-lactamase	EIU5628441.1
519532327	EIU5628441.1	PDC family class C beta-lactamase	EIU5630553.1
576533984	HCK4313672.1	PDC family class C beta-lactamase	HCK4313672.1
646306042	NA	NA	HDR0376053.1
220095366	WP_124082707.1	PDC family class C beta-lactamase	WP_124082707.1
646306042	NA	NA	HDQ8632026.1
646306042	NA	NA	HDQ7314137.1
646306042	NA	NA	HDQ7379545.1
646306042	NA	NA	HDQ7373072.1
595283272	NA	NA	EKD5482813.1
646306042	NA	NA	HDQ8220354.1
646306042	NA	NA	HDQ7978518.1
518871107	HBO2804564.1	PDC family class C beta-lactamase	HBO2804564.1
518871107	HBO2804564.1	PDC family class C beta-lactamase	HBO2802103.1
387170989	MBI7438826.1	PDC family class C beta-lactamase	HCP6197671.1
518545654	HBO4010094.1	PDC family class C beta-lactamase	HBO4010094.1
518545654	HBO4010094.1	PDC family class C beta-lactamase	HBO1061380.1
646306042	NA	NA	HDQ8686982.1
646306042	NA	NA	HDQ8129658.1
589924690	NA	NA	HCR1243738.1
589925615	NA	NA	HCR1358818.1
103184051	WP_060774174.1	PDC family class C beta-lactamase	HBO4530392.1
103184051	WP_060774174.1	PDC family class C beta-lactamase	WP_060774174.1
103184051	WP_060774174.1	PDC family class C beta-lactamase	HBO4531401.1
560142669	HCE9392197.1	PDC family class C beta-lactamase	HCE9392197.1
560142669	HCE9392197.1	PDC family class C beta-lactamase	HCE9396414.1
646306042	NA	NA	HDQ8699147.1
646306042	NA	NA	HDQ7576236.1
646306042	NA	NA	HDQ7719735.1
646306042	NA	NA	HDQ8322894.1
519622101	HBO8182428.1	PDC family class C beta-lactamase	HBO8182428.1
646306042	NA	NA	HDQ7961503.1
646306042	NA	NA	HDQ7452155.1
558748351	HCE0608168.1	PDC family class C beta-lactamase	HCE0608168.1
519536188	HBO3705500.1	beta-lactamase	HBO3705500.1
67526566	WP_034016896.1	serine hydrolase	WP_034016896.1
646306042	NA	NA	HDQ8456395.1
646306042	NA	NA	HDQ7809935.1
133784292	WP_074287021.1	PDC family class C beta-lactamase	WP_074287021.1
519552001	HBO4421513.1	PDC family class C beta-lactamase	HBO4421513.1
519552001	HBO4421513.1	PDC family class C beta-lactamase	HBO4420515.1
214530971	WP_121497943.1	PDC family class C beta-lactamase	WP_121497943.1
84155893	WP_048305029.1	class C beta-lactamase	WP_048305029.1
646306042	NA	NA	HDQ7592198.1
646306042	NA	NA	HDQ7439822.1
646306042	NA	NA	HDQ7386793.1
646306042	NA	NA	HDQ8147798.1
646306042	NA	NA	HDQ8195729.1
519554784	HBO4487594.1	PDC family class C beta-lactamase	HBO4487594.1
519554784	HBO4487594.1	PDC family class C beta-lactamase	HBO4488719.1
519627572	HBO8393494.1	PDC family class C beta-lactamase	HBO8393494.1
519627572	HBO8393494.1	PDC family class C beta-lactamase	HBO8392028.1
589922551	NA	NA	HCR1214366.1
519629214	HBO8640336.1	beta-lactamase	HBO8640336.1
577507831	HCL4246691.1	PDC family class C beta-lactamase	HCL4246691.1
577507831	HCL4246691.1	PDC family class C beta-lactamase	HCL4246697.1
589931520	NA	NA	HCR1533624.1
571729324	WP_257672591.1	PDC family class C beta-lactamase	WP_257672591.1
646306042	NA	NA	HDQ7459050.1
646306042	NA	NA	HDQ7398982.1
646306042	NA	NA	HDQ8673548.1
646306042	NA	NA	HDQ8723036.1
560503976	HCF5389139.1	PDC family class C beta-lactamase	HCF5389139.1
560503976	HCF5389139.1	PDC family class C beta-lactamase	HCF5384867.1
263640558	WP_143993343.1	serine hydrolase	WP_143993343.1
519421652	HBO3090040.1	PDC family class C beta-lactamase	HBO3090040.1
274348610	WP_151130601.1	PDC family class C beta-lactamase	WP_151130601.1
589922747	NA	NA	HCR1290682.1
431607350	WP_210772828.1	PDC family class C beta-lactamase	WP_210772828.1
558729904	HCE0305878.1	PDC family class C beta-lactamase	HCE0305878.1
577452393	HCL3445218.1	PDC family class C beta-lactamase	HCL3445218.1
543236642	HCA7684605.1	PDC family class C beta-lactamase	HCA7684605.1
560213105	HCF4675610.1	PDC family class C beta-lactamase	HCF4675610.1
560213105	HCF4675610.1	PDC family class C beta-lactamase	HCF4673918.1
133758136	WP_074202745.1	PDC family class C beta-lactamase	WP_074202745.1
560811790	HCF9519162.1	PDC family class C beta-lactamase	HCF9519162.1
646306042	NA	NA	HDQ7997936.1
646306042	NA	NA	HDQ8546964.1
646306042	NA	NA	HDQ8413723.1
238968709	WP_132506252.1	PDC family class C beta-lactamase	WP_132506252.1
646306042	NA	NA	HDQ7072503.1
646306042	NA	NA	HDQ8661420.1
646306042	NA	NA	HDQ8146195.1
646306042	NA	NA	HDR0377166.1
325044259	WP_171450852.1	PDC family class C beta-lactamase	WP_171450852.1
341461114	WP_180361475.1	PDC family class C beta-lactamase	WP_180361475.1
560173802	HCF2129513.1	PDC family class C beta-lactamase	HCF2129513.1
560173802	HCF2129513.1	PDC family class C beta-lactamase	HCF2131802.1
519615106	HBO6915950.1	PDC family class C beta-lactamase	HBO6915950.1
76439977	WP_043553860.1	class C beta-lactamase	WP_043553860.1
519550613	HBO4296753.1	PDC family class C beta-lactamase	HBO4296753.1
519550613	HBO4296753.1	PDC family class C beta-lactamase	HBO4296303.1
646306042	NA	NA	HDQ7882035.1
580414480	EJU9309422.1	beta-lactamase	EJU9309422.1
560576449	WP_259630417.1	PDC family class C beta-lactamase	HCF7629114.1
560576449	WP_259630417.1	PDC family class C beta-lactamase	WP_259630417.1
560576449	WP_259630417.1	PDC family class C beta-lactamase	HCF7629855.1
646306042	NA	NA	HDQ8039732.1
519568779	HBO5328157.1	PDC family class C beta-lactamase	HBO5328157.1
577457311	HCL3647271.1	PDC family class C beta-lactamase	HCL3647271.1
301273181	WP_162954186.1	class C beta-lactamase	WP_162954186.1
560178010	HCF2515512.1	beta-lactamase	HCF2515512.1
646306042	NA	NA	HDQ7362966.1
646306042	NA	NA	HDQ7216693.1
646306042	NA	NA	HDQ7561995.1
646306042	NA	NA	HDQ8608731.1
577505448	HCL4135555.1	beta-lactamase	HCL4135555.1
576560472	HCK5120091.1	PDC family class C beta-lactamase	HCK5120091.1
576560472	HCK5120091.1	PDC family class C beta-lactamase	HCK5118679.1
309279109	WP_166793992.1	serine hydrolase	WP_166793992.1
646306042	NA	NA	HDQ7833720.1
646306042	NA	NA	HDQ7090973.1
646306042	NA	NA	HDQ7731381.1
646306042	NA	NA	HDQ8345563.1
589922558	NA	NA	HCR1214377.1
628802572	NA	NA	EKN1925758.1
646306042	NA	NA	HDR0351433.1
241868290	WP_134512362.1	PDC family class C beta-lactamase	WP_134512362.1
519655700	WP_241388126.1	PDC family class C beta-lactamase	HCP6275030.1
519655700	WP_241388126.1	PDC family class C beta-lactamase	WP_241388126.1
519655700	WP_241388126.1	PDC family class C beta-lactamase	HBP0150562.1
519655700	WP_241388126.1	PDC family class C beta-lactamase	HBP0152516.1
646306042	NA	NA	HDQ8196587.1
646306042	NA	NA	HDQ7907603.1
325035357	WP_171409890.1	PDC family class C beta-lactamase	WP_171409890.1
589933035	NA	NA	HCR1771125.1
519601213	HBO6816931.1	beta-lactamase	HBO6816931.1
559120434	HCE3946574.1	PDC family class C beta-lactamase	HCE3946574.1
580414454	EJU9309408.1	PDC family class C beta-lactamase	EJU9309408.1
560810791	HCF9255862.1	PDC family class C beta-lactamase	HCF9255862.1
560810791	HCF9255862.1	PDC family class C beta-lactamase	HCF9253701.1
589925673	NA	NA	HCR1358816.1
646306042	NA	NA	HDQ8242565.1
646306042	NA	NA	HDQ7236467.1
71530051	WP_039026681.1	PDC family class C beta-lactamase	HCT2659820.1
71530051	WP_039026681.1	PDC family class C beta-lactamase	WP_039026681.1
71530051	WP_039026681.1	PDC family class C beta-lactamase	HCL3642281.1
71530051	WP_039026681.1	PDC family class C beta-lactamase	HCL3647277.1
518543847	HBO1496409.1	PDC family class C beta-lactamase	HBO1496409.1
518543847	HBO1496409.1	PDC family class C beta-lactamase	HBO0923932.1
566925750	HCI3927470.1	PDC family class C beta-lactamase	HCI3927470.1
646306042	NA	NA	HDQ8152859.1
646306042	NA	NA	HDQ8703904.1
646306042	NA	NA	HDQ8438195.1
301472352	WP_162975433.1	serine hydrolase	WP_162975433.1
221019137	WP_125061991.1	PDC family class C beta-lactamase	HCR1719771.1
221019137	WP_125061991.1	PDC family class C beta-lactamase	WP_125061991.1
587567388	NA	NA	EJY6046636.1
646306042	NA	NA	HDQ7145825.1
646306042	NA	NA	HDQ8310889.1
646306042	NA	NA	HDQ7325112.1
596419772	NA	NA	HCT2596330.1
589924692	NA	NA	HCR1243739.1
67541038	WP_034026752.1	class C beta-lactamase	WP_034026752.1
646306042	NA	NA	HDQ8044425.1
646306042	NA	NA	HDQ7773935.1
646306042	NA	NA	HDQ8406147.1
646306042	NA	NA	HDQ7170099.1
593039951	WP_264991561.1	class C beta-lactamase	WP_264991561.1
519560607	HBO4791555.1	PDC family class C beta-lactamase	HBO4791555.1
519560607	HBO4791555.1	PDC family class C beta-lactamase	HBO4790798.1
646306042	NA	NA	HDQ8273726.1
646306042	NA	NA	HDQ7792902.1
646306042	NA	NA	HDQ7671563.1
459262204	WP_215434711.1	PDC family class C beta-lactamase	WP_215434711.1
103646922	WP_060965279.1	PDC family class C beta-lactamase	WP_060965279.1
560556212	HCF6277851.1	beta-lactamase	HCF6277851.1
611546160	WP_270173397.1	PDC family class C beta-lactamase	WP_270173397.1
589924612	NA	NA	HCR1533620.1
98888213	WP_058158666.1	PDC family class C beta-lactamase	WP_058158666.1
589935073	NA	NA	HCR1833694.1
601049087	NA	NA	HCW0748846.1
646306042	NA	NA	HDQ7096952.1
558791434	HCE0687751.1	PDC family class C beta-lactamase	HCE0687751.1
559785948	HCE5854793.1	PDC family class C beta-lactamase	HCE5854793.1
596142533	NA	NA	EKD6552688.1
646306042	NA	NA	HDQ8611960.1
646306042	NA	NA	HDQ8577752.1
646306042	NA	NA	HDQ7489450.1
519542611	HBO3980362.1	PDC family class C beta-lactamase	HBO3980362.1
646306042	NA	NA	HDQ7798990.1
84154656	WP_048303792.1	serine hydrolase	WP_048303792.1
519769501	HBP4586045.1	PDC family class C beta-lactamase	HBP4586045.1
519769501	HBP4586045.1	PDC family class C beta-lactamase	HBP4587774.1
519566582	HBO5194489.1	PDC family class C beta-lactamase	HBO5194489.1
646306042	NA	NA	HDQ7206162.1
646306042	NA	NA	HDQ8278607.1
646306042	NA	NA	HDQ7495465.1
646306042	NA	NA	HDQ8094014.1
646306042	NA	NA	HDQ8382809.1
609018763	WP_269973018.1	PDC family class C beta-lactamase	WP_269973018.1
226058224	WP_126590471.1	class C beta-lactamase PDC-535	WP_126590471.1
566378525	HCH9974544.1	PDC family class C beta-lactamase	HCH9974544.1
519639566	HBO9763090.1	PDC family class C beta-lactamase	EKJ6828498.1
519639566	HBO9763090.1	PDC family class C beta-lactamase	HBO9763090.1
519639566	HBO9763090.1	PDC family class C beta-lactamase	HBO9765388.1
646306042	NA	NA	HDQ7550067.1
646306042	NA	NA	HDQ8045742.1
646306042	NA	NA	HDQ7368923.1
601049700	NA	NA	HCW0905567.1
580414484	EJU9309416.1	beta-lactamase	EJU9309416.1
589930148	NA	NA	HCR1577861.1
577504165	HCL4173136.1	PDC family class C beta-lactamase	HCL4173136.1
646306042	NA	NA	HDQ8376729.1
646306042	NA	NA	HDQ7768079.1
646306042	NA	NA	HDQ7816990.1
576553757	HCK4920105.1	PDC family class C beta-lactamase	HCK4920105.1
28425972	WP_014833883.1	PDC family class C beta-lactamase	WP_014833883.1
576552430	HCK4788448.1	PDC family class C beta-lactamase	HCK4788448.1
646306042	NA	NA	HDR0342590.1
646306042	NA	NA	HDQ8656425.1
646306042	NA	NA	HDQ8105872.1
646306042	NA	NA	HDQ8667832.1
639946623	NA	NA	EKQ5873566.1
240824914	WP_134286836.1	PDC family class C beta-lactamase	WP_134286836.1
560813162	HCF9579181.1	PDC family class C beta-lactamase	HCF9579181.1
558727385	HCE0130029.1	PDC family class C beta-lactamase	HCE0130029.1
646306042	NA	NA	HDQ8333656.1
646306042	NA	NA	HDQ8413101.1
646306042	NA	NA	HDQ7737121.1
646306042	NA	NA	HDQ8202426.1
646306042	NA	NA	HDQ7537985.1
543245299	HCA7906325.1	PDC family class C beta-lactamase	HCA7906325.1
330574877	WP_174706328.1	PDC family class C beta-lactamase	WP_174706328.1
519587640	HBO5988359.1	beta-lactamase	HBO5988359.1
646306042	NA	NA	HDQ8334976.1
241922093	WP_134613401.1	class C beta-lactamase	WP_134613401.1
241935999	WP_134627344.1	class C beta-lactamase	WP_134627344.1
239007440	WP_132657664.1	PDC family class C beta-lactamase	WP_132657664.1
637015174	WP_275802705.1	class C beta-lactamase PDC-547	WP_275802705.1
646306042	NA	NA	HDQ8238465.1
646306042	NA	NA	HDQ8328053.1
646306042	NA	NA	HDQ7548642.1
580414442	EJU9309419.1	beta-lactamase	EJU9309419.1
196955569	WP_114012592.1	PDC family class C beta-lactamase	WP_114012592.1
560839226	HCG1244460.1	PDC family class C beta-lactamase	HCG1244460.1
646312783	NA	NA	HDQ9643307.1
646306042	NA	NA	HDQ7762418.1
646306042	NA	NA	HDR0341762.1
518559370	HBO1712972.1	beta-lactamase	HBO1712972.1
560063525	HCE7878485.1	PDC family class C beta-lactamase	HCE7878485.1
646306042	NA	NA	HDQ7869870.1
519782974	HBP6079295.1	class C beta-lactamase	HCR1382605.1
519782974	HBP6079295.1	class C beta-lactamase	HBP6079295.1
519782974	HBP6079295.1	class C beta-lactamase	HBP6081577.1
519602849	HBO7298768.1	PDC family class C beta-lactamase	HBO7298768.1
577499933	HCL3913457.1	PDC family class C beta-lactamase	HCL3913457.1
577499933	HCL3913457.1	PDC family class C beta-lactamase	HCL3913469.1
560197050	HCF3730980.1	PDC family class C beta-lactamase	HCF3730980.1
560197050	HCF3730980.1	PDC family class C beta-lactamase	HCF3732231.1
646306042	NA	NA	HDQ8594931.1
301278425	WP_162957654.1	class C beta-lactamase	WP_162957654.1
459262644	WP_215443096.1	PDC family class C beta-lactamase	WP_215443096.1
560073021	HCE8567983.1	PDC family class C beta-lactamase	HCE8567983.1
560073021	HCE8567983.1	PDC family class C beta-lactamase	HCE8567005.1
589924659	NA	NA	HCR1261528.1
519732750	EIU6914876.1	PDC family class C beta-lactamase	EIU6914876.1
646306042	NA	NA	HDQ8516746.1
646306042	NA	NA	HDQ7158025.1
559121047	HCE3793605.1	beta-lactamase	HCE3793605.1
580414445	EJU9309405.1	PDC family class C beta-lactamase	EJU9309405.1
571723627	WP_257653817.1	PDC family class C beta-lactamase	WP_257653817.1
563795006	WP_254322464.1	PDC family class C beta-lactamase	WP_254322464.1
241832862	WP_134391930.1	PDC family class C beta-lactamase	WP_134391930.1
560192469	HCF3541087.1	PDC family class C beta-lactamase	HCF3541087.1
560192469	HCF3541087.1	PDC family class C beta-lactamase	HCF3538407.1
646306042	NA	NA	HDQ7543965.1
560575904	HCF7572375.1	PDC family class C beta-lactamase	HCF7572375.1
560575904	HCF7572375.1	PDC family class C beta-lactamase	HCF7571077.1
646306042	NA	NA	HDQ8565250.1
646306042	NA	NA	HDQ7477306.1
589927096	NA	NA	HCR1708707.1
518573316	HBO2593464.1	PDC family class C beta-lactamase	HBO2593464.1
593670625	NA	NA	EKC1534711.1
239015529	WP_132675716.1	PDC family class C beta-lactamase	WP_132675716.1
646306042	NA	NA	HDQ8620769.1
646306042	NA	NA	HDQ8468193.1
646306042	NA	NA	HDQ8009911.1
519530516	EIU5412076.1	PDC family class C beta-lactamase	EIU5412076.1
519617058	HBO7235864.1	PDC family class C beta-lactamase	HBO7235864.1
566680816	HCI2959160.1	PDC family class C beta-lactamase	HCI2959160.1
646306042	NA	NA	HDQ7689612.1
240844666	WP_134296277.1	PDC family class C beta-lactamase	HCR1521966.1
240844666	WP_134296277.1	PDC family class C beta-lactamase	WP_134296277.1
577464369	HCL3842810.1	PDC family class C beta-lactamase	HCL3842810.1
577464369	HCL3842810.1	PDC family class C beta-lactamase	HCL3845133.1
600870123	NA	NA	HCW0152309.1
487402845	WP_223718159.1	PDC family class C beta-lactamase	HCF6819530.1
487402845	WP_223718159.1	PDC family class C beta-lactamase	WP_223718159.1
487402845	WP_223718159.1	PDC family class C beta-lactamase	HCF6818237.1
554876494	WP_250024091.1	PDC family class C beta-lactamase	WP_250024091.1
646306042	NA	NA	HDQ8103871.1
646306042	NA	NA	HDQ7522932.1
120236748	WP_070330893.1	PDC family class C beta-lactamase	WP_070330893.1
541005605	WP_243702508.1	PDC family class C beta-lactamase	WP_243702508.1
518514141	EIU1485510.1	PDC family class C beta-lactamase	EIU1485510.1
519740108	EIU7153263.1	PDC family class C beta-lactamase	EIU7153263.1
519740108	EIU7153263.1	PDC family class C beta-lactamase	EIU7152137.1
646306042	NA	NA	HDQ7719248.1
646306042	NA	NA	HDQ7157230.1
646306042	NA	NA	HDQ7519580.1
646306042	NA	NA	HDQ7804436.1
